Request Type Category,Request Type,Menu Option,Click Action,Link URL or FAQ definition
Accounts,Account & Password,How do I create a myUMBC account?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30736476/How+do+I+create+a+myUMBC+account
Accounts,Account & Password,I have forgotten my myUMBC password. What should I do?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30736467/I+have+forgotten+my+myUMBC+password.+What+should+I+do
Accounts,Account & Password,How do I clear an alert from myUMBC?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/209584157/How+to+I+clear+an+alert+from+myUMBC
Accounts,Account & Password,How do I enroll my first device with DUO?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30765935/How+do+I+enroll+my+first+device+with+Duo
Accounts,Account & Password,How do I manage my devices in Duo?,FAQ,https://umbc.atlassian.net/wiki/x/gC-VAQ
Accounts,Account & Password,How do I request myUMBC accounts for non-UMBC users / Create a Sponsored Account?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30739140/How+do+I+request+myUMBC+accounts+for+non-UMBC+users+Create+a+Sponsored+Account
Accounts,Account & Password,Accounts Frequently Asked Questions (FAQ),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30736952/Accounts
Accounts,Account & Password,Multi-Factor Authentication with DUO Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30743265/Multi-Factor+Authentication+with+DUO
Accounts,Account & Password,Profile Sharing Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30745026/Profile+Sharing
Administration and Business,DocuSign,How do I access DocuSign?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30745815/How+do+I+access+DocuSign
Administration and Business,DocuSign,DocuSign Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30745075/DocuSign+-+Electronic+Signatures
Administration and Business,DocuSign,DocuSign Portal,Link,https://umbc.edu/go/docusign
Administration and Business,DocuSign,DocuSign Envelope Workflow Review Tool,Link,https://umbc.edu/go/1278
Administration and Business,ImageNow / Experience,ImageNow/Experience Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30738653/ImageNow+Experience
Administration and Business,myUMBC,myUMBC Campus Portal Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30744990/myUMBC+Campus+Portal
Administration and Business,PeopleSoft,Finance,Link,https://doit.umbc.edu/finance/
Administration and Business,PeopleSoft,Human Resources (HR),Link,https://doit.umbc.edu/hr/
Administration and Business,PeopleSoft,Student Administration (SA),Link,https://doit.umbc.edu/student-administration-sa/
Administration and Business,Request Tracker (RT),How and why should I submit an RT ticket request?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30736419/How+and+why+should+I+submit+an+RT+ticket+request
Administration and Business,Request Tracker (RT),Request Tracker (RT) Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30736420/Request+Tracker+RT
Administration and Business,Request Tracker (RT),RT for Support Staff Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30737505/RT+for+Support+Staff
Administration and Business,REX,How do I access REX?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30742365/How+do+I+access+REX
Administration and Business,REX,How do I access REX Finance?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30748341/How+do+I+access+Rex+Finance
Administration and Business,REX,Why can't I login to REX?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30738741
Administration and Business,REX,REX Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30738652/UMBC+Report+Exchange+REX
Administration and Business,REX,REX Finance Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30748233/Rex+Finance
Administration and Business,REX,Financial Administrative Dashboards Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/34406519/Financial+Administrative+Dashboards+FADs
Administration and Business,REX,Analytics Site,Link,https://analytics.umbc.edu/
Administration and Business,REX,REX Site,Link,https://rex.umbc.edu/
Administration and Business,Salesforce,Salesforce Basics Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/salesforce/overview
Communication and Collaboration,Email & Calendar,How do I access UMBC's Gmail?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30736866/How+do+I+access+UMBC+s+Gmail
Communication and Collaboration,Email & Calendar,How do I create an email alias?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30736447
Communication and Collaboration,Email & Calendar,How do I create a shared mailbox or alias?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30740421/How+do+I+create+a+shared+mailbox+or+alias
Communication and Collaboration,Email & Calendar,How do I request a new mailing list?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30747221/How+do+I+request+a+new+mailing+list+in+Google+Groups
Communication and Collaboration,Email & Calendar,Email & Calendar Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30736432/Email+Calendar
Communication and Collaboration,Email & Calendar,Gmail Documentation,Link,https://support.google.com/mail/
Communication and Collaboration,Email & Calendar,Google Calendar Documentation,Link,https://support.google.com/calendar/
Communication and Collaboration,List/Group Request,Google Groups Mailing Lists Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30746671/Mailing+Lists+Google+Groups
Communication and Collaboration,List/Group Request,Request a Mailing List,Link,https://rtforms.umbc.edu/rt_authenticated/doit/DoIT-support.php?auto=List%20Group%20Request
Communication and Collaboration,List/Group Request,Google Groups Documentation,Link,https://support.google.com/groups/
Communication and Collaboration,myUMBC,How do I automatically enroll people in my myUMBC Group?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/209158191/How+do+I+automatically+enroll+people+in+my+myUMBC+Group
Communication and Collaboration,myUMBC,How do I put events on the myUMBC Events calendar?,FAQ,https://umbc.atlassian.net/wiki/x/KwB6D
Communication and Collaboration,myUMBC,myUMBC Campus Portal Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30744990/myUMBC+Campus+Portal
Communication and Collaboration,Webex,How do I install Webex on Mac or Windows?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30756878
Communication and Collaboration,Webex,How do I host a meeting using Webex?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30751885
Communication and Collaboration,Webex,Webex Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30751886/Webex
Communication and Collaboration,Webex,Webex Room Kit/Room Bar Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30761212/Cisco+Webex+Room+Kit+or+Room+Bar
Communication and Collaboration,Webex,Webex Webinars Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30757424/Webex+Webinars
Communication and Collaboration,Webex,Software-Based Calling using Webex Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30761164/Software-Based+Calling+using+Webex
Communication and Collaboration,Webex,Webex Quick Start Guide,Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30755927/UMBC+Webex+Quick+Start+Guide
Other,General Support,UMBC Computing & Technology Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30736745/Computing+Technology
Research,Research Computing,What is the High Performance Computing Facility and how do I access it? ,FAQ,https://hpcf.umbc.edu/
Research,Research Computing,Research Support,Link,https://doit.umbc.edu/eis/research/
Security,Security,What should I do if I receive a suspicious email? ,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30744944/What+should+I+do+if+I+receive+a+suspicious+email
Security,Security,How do I subscribe to DoIT IT Security Articles?,FAQ,https://umbc.atlassian.net/wiki/spaces/faq/pages/30760620/How+to+Subscribe+to+DoIT+IT+Security+Notices+and+Articles
Security,Security,Information Security and Compliance Frequently Asked Questions (FAQs),Link,https://umbc.atlassian.net/wiki/spaces/faq/pages/30741143/Information+Security+and+Compliance
Teaching and Learning,Accessibility & Captioning Support,"What is Blackboard Ally, and how do I access it? ",FAQ,https://umbc.atlassian.net/wiki/x/izbVAQ
Teaching and Learning,Accessibility & Captioning Support,How do I present with real-time subtitles in PowerPoint?,FAQ,https://umbc.atlassian.net/wiki/x/Jk7VAQ
