Service Area,Request Type Category,Request Type,Description,Authenticated,"Select Action (Link, Embed, Custom)",Link/Embed - Redirect URL,Embed/Custom - Class Name,Tags Config File
Academic & Student Services,Admissions,Graduate Admissions,"The Graduate School provides admissions support to students who are pursuing Graduate level degree seeking, non-degree seeking, or certificate student careers. ",N,Custom,N/A,gradSchoolModule,gradSchoolTags
Academic & Student Services,Admissions,Undergraduate Admissions,"The Office of Undergraduate Admissions and Orientations is responsible for the recruitment and admission of new first-time, first-year and transfer students, and the onboarding of new students through orientation programs.",N,Embed,https://undergraduate.umbc.edu/request-help/,UGAdmissionsModule,UGAdmissionsTags
Academic & Student Services,Academic Advising,Academic Advising,"UMBC has comprehensive resources to help you meet your academic goals including making decisions about your academic plans (advising), registering for classes, and assisting with difficulties you may run into. 
",Y,Custom,N/A,advisingModule,advisingTags
Academic & Student Services,Academic Success,Academic Advocacy,"Academic Advocates are dedicated to serving undergraduate degree-seeking students to assist them in resolving academic and institutional challenges that pose a barrier to graduation. No matter how complex the concerns (i.e., personal, academic, or financial), Academic Advocates will work together with students to review their progress, present options toward graduation, map out a plan for success, and facilitate communication and connections with the appropriate resources.",Y,Link,https://academicsuccess.umbc.edu/submit-a-referral/,N/A,advocateTags
Academic & Student Services,Academic Success,Academic Success Center,"The Academic Success Center is dedicated to helping students reach their potential with a UMBC degree. We provide centralized support services to all undergraduate students at UMBC. Through a coordinated approach and an unwavering commitment to student success, the Academic Success Center fosters a welcoming environment that provides a one-stop opportunity through Academic Policy, Academic Learning Resources, and Academic Advocacy for students to achieve their academic goals and claim their future with a UMBC degree.",N,Link,https://academicsuccess.umbc.edu/,N/A,ascTags
Academic & Student Services,Academic Advising,Degree Audit,"Your Degree Audit is the ultimate authoritative document to university, GEP and major/minor/certificate requirements at UMBC. Information is parsed into all categories applying to your degree progress to the finer points of your major's requirements. Currently enrolled classes, withdrawn classes, letter grades and credits awarded are shown.",Y,Embed,https://registrar.umbc.edu/RT/Degree-Audit/,degreeAuditModule,degreeAuditTags
Academic & Student Services,Academic Advising,Degree Planner Questions,"The Degree Planner is a tool to assist you and your advisor in planning courses toward degree completion. Using the degree planner, you can populate information about courses you intend to take over multiple terms.",Y,Embed,https://registrar.umbc.edu/rt/degree-planner-questions/,degreePlannerModule,degreePlannerTags
Academic & Student Services,Academic Advising,Programs & Degrees,"UMBC offers a wide range of undergraduate and graduate programs across various disciplines. The university’s commitment to innovative teaching, relevant research, and supportive community empowers and inspires inquisitive minds. he university also offers a wide range of graduate programs across various disciplines. You can find more information about the programs and courses offered at UMBC in the following links:",N,Link,https://umbc.edu/academics/programs-and-degrees/,N/A,degreeTags
Academic & Student Services,Academic Advising,Transfer Services,"Transfer Services ensures the integrity of course evaluations, maintains course articulation databases, and provides pre-transfer evaluations.",Y,Embed,https://registrar.umbc.edu/RT/Transfer-services/,transferModule,transferTags
Academic & Student Services,Academic Success,Graduation,"Students may apply online for graduation in their final semester of study once all general education, major/minor/certificate requirements, as applicable, have been accounted for (i.e., currently enrolled in all remaining courses and/or pending transfer credit to be sent to UMBC).",Y,Embed,https://registrar.umbc.edu/RT/Graduation/,graduationModule,graduationTags
Academic & Student Services,Billing & Personal Finances,Bookstore & Textbooks,"The UMBC Bookstore, located on the first floor of the Commons Building in the heart of campus, is proudly owned and operated by UMBC. It is committed to providing all required and recommended course materials and supplies to the UMBC community.The bookstore also offers a variety of UMBC-branded clothing and merchanise. It prides itself on offering exceptional, personalized service to students, faculty, staff, alumni, and visitors. The Yum Shoppe is a convenience store located on the ground floor of the UMBC Bookstore. It offers a wide variety of affordable quick meal options and snacking needs. The Yum Shoppe stocks a large assortment of beverages, snacks, prepared foods, and personal care items. It also offers a variety of food options including grab and go sandwiches, frozen and prepared foods, and snacks.",N,Link,https://bookstore.umbc.edu/home,N/A,bookstoreTags
Academic & Student Services,Billing & Personal Finances,Campus Card,"Campus Card and Mail Services (CCMS) provides Campus Card ID, Meal Fund, Meal Plan purchases, US Mail & Notary, and Vending support to the campus community.",Y,Embed,https://campuscard.umbc.edu/general-inquiries/,campusCardModule,campusCardTags
Academic & Student Services,Billing & Personal Finances,Financial Aid and Scholarships,"The Office of Financial Aid and Scholarships (OFAS) offers a range of financial aid, payment options and financial wellness information so that all students may benefit from a UMBC education. Financial aid can come in the form of grants, work, student loans, parent loans, scholarships and other awards.",Y,Link,https://financialaid.umbc.edu/contact/,N/A,financialAidTags
Academic & Student Services,Billing & Personal Finances,Meal Plans,"UMBC provides a variety of meal plans to ensure each individual student's needs are met for on-campus dining destinations. Each meal plan resets weekly on Sunday nights, with the exception of block meal plans.",Y,Embed,https://campuscard.umbc.edu/support/purchase-a-plan/,mealPlansModule,mealPlansTags
Academic & Student Services,Billing & Personal Finances,Student Financial Accounts,"Student Business Services (SBS) is the office that bills students, collects tuition and fees and issues student refunds. We process student payments, tuition remission, military waivers and post payments to student accounts from outside agencies.",Y,Embed,https://sbs.umbc.edu/contact-information-internal/,billingModule,billingTags
Academic & Student Services,Classes & Grades,Registration,"The Registrar's Office provides support for student registration, including ability to add, drop, withdraw, swap, and join waitlists for classes.",Y,Embed,https://registrar.umbc.edu/RT/Registration/,registrationModule,registrationTags
Academic & Student Services,Classes & Grades,Transcript Inquiries,The Registrar's Office provides support for students to submit requests for official or unofficial transcripts. Official copies of your UMBC transcript can be sent directly to you or to another recipient electronically with your authorization.,Y,Embed,https://registrar.umbc.edu/RT/Transcripts/,transcriptModule,transcriptTags
Academic & Student Services,Classes & Grades,Academic Schedule of Classes (SOC) Changes,"This form is specific to Academic Departments who are requesting schedule of classes (SOC) changes from the Registrar, and is not for students to request assistance with schedule changes.",Y,Embed,https://registrar.umbc.edu/RT/Scheduling/,schedulingModule,schedulingTags
Academic & Student Services,Graduate School,Graduate Student Support,"The Graduate School provides admissions, enrollment, and current student support to students who are pursuing Graduate level degree seeking, non-degree seeking, or certificate student careers. ",Y,Custom,N/A,gradSchoolModule,gradSchoolTags
Academic & Student Services,Health & Safety,Behavioral Risk Referral,"If you observe a person whose behavior is potentially dangerous (e.g. making verbal or physical threats to others; threatening suicide and resisting help), or if you think you might hurt yourself or others, call UMBC Police at 410-455-5555 or call 911 if off-campus. If you have concerns about a person in distress or behaviors of concern you have experienced or observed, please file a report using the referral form. ",N,Link,https://umbc-advocate.symplicity.com/care_report,N/A,bractTags
Academic & Student Services,Health & Safety,Discrimination & Harassment Reporting,"The Office of Equity and Civil Rights (ECR) is responsible for managing UMBC’s efforts related to Title IX as well as other civil rights issues, including discrimination, harassment, hate and bias. Use this form to report alleged conduct related to sexual misconduct, discrimination, harassment, hate, or bias on the basis of race, creed, color, religion, sex, gender, pregnancy, ancestry, age, gender identity or expression, national origin, veterans status, marital status, sexual orientation, physical or mental disability, or genetic information.",N,Link,https://umbc-advocate.symplicity.com/titleix_report,N/A,ecrTags
Academic & Student Services,Health & Safety,Police Department,"The UMBC Police Department provides police service 24 hours a day throughout the year. To report a crime, call (410) 455-5555 or 911 for emergencies. If you are concerned about your safety as you walk on campus, call (410) 455-5555 to request a safety escort. ",N,Link,https://police.umbc.edu/about-us/contact-us/,N/A,policeTags
Academic & Student Services,Health & Safety,Student Athlete Concerns,"Pursuant to the Student Concerns About Athletic Programs and Activities Interim Policy (“Student Athletic Concerns Policy”) and applicable Procedures, this form may be used to share concerns about athletic programs and activities, with the option to submit concerns confidentially. This form is not intended to be used to report an immediate threat. If you or someone you know is in imminent or immediate danger, contact the University Police at (410) 455-5555 or call 911.",N,Link,https://studentathleteconcerns.umbc.edu/,N/A,athleteconcernTags
Academic & Student Services,Health & Safety,Student Conduct Report,"Refer incidents of student misconduct to Student Conduct and Community Standards. Anyone (student, staff, faculty, or non-student) can submit a report.",N,Link,https://umbc-advocate.symplicity.com/public_report/,N/A,conductTags
