Request Type Category,Request Type,Menu Option,Click Action,Link URL or FAQ definition
Campus Life,Campus Card,What is a Departmental Campus Card (DCARD)?,FAQ,https://campuscard.umbc.edu/about/departmental-campus-card-dcard/
Campus Life,Campus Card,DCARD Application,Link,https://my.umbc.edu/go/577
Campus Life,Campus Card,Shady Grove Card Services,Link,https://campuscard.umbc.edu/shadygrove/
Campus Life,University Communications & Marketing,How do I request work from UCM?,FAQ,https://umbc.edu/request/
Campus Life,University Communications & Marketing,UMBC Style Guide,Link,https://styleguide.umbc.edu/
Campus Life,Commonvision,Commonvision Pricing and Information,Link,https://commonvision.umbc.edu/resources
Campus Life,Commonvision,Commonvision: How do I request a design or animation for my department?,FAQ,https://docs.google.com/forms/d/e/1FAIpQLSfeZujN_DL--tQJLUK_94RQKRkzwfdvw2ZAnKeNzmmaQBn5gg/viewform
Campus Life,Meal Plans,Meal Plan Frequently Asked Questions (FAQs),Link,https://campuscard.umbc.edu/support/frequently-asked-questions/
Campus Life,Meal Plans,Faculty/Staff Meal Plans,Link,https://campuscard.umbc.edu/meal-plans-2/faculty-and-staff-meal-plans/
Campus Life,Meal Plans,Faculty/Staff Meal Plan Deduction,Link,https://my.umbc.edu/go/1208
Campus Life,Meal Plans,Chartwells (Dine on Campus),Link,https://dineoncampus.com/UMBC
Campus Life,Event & Conference Services (ECS),How do I plan an event on campus?,FAQ,https://eventservices.umbc.edu/resources/planning-your-event/
Campus Life,Event & Conference Services (ECS),How do I change my 25Live Designated Department Scheduler? ,FAQ,https://docs.google.com/forms/d/1yFXIcpkw9ngzL1iGO9FyUi6oF1NCuM1cx5I_dKOaq1A/viewform?edit_requested=true
Campus Life,Event & Conference Services (ECS),How do I request a table space for my group or to sell merchandise?,FAQ,https://forms.gle/h5W4T6HVmp68BWuz8
Campus Life,Event & Conference Services (ECS),Event & Conference Services Frequently Asked Questions (FAQs),Link,https://eventservices.umbc.edu/faq/
