Request Type Category,Request Type,Menu Option,Click Action,Link URL or FAQ definition
Admissions,Graduate Admissions,How do I contact UMBC Graduate Admissions?,FAQ,https://umbc.edu/admissions/graduate/funding/#contact
Admissions,Graduate Admissions,Graduate Admissions & Requirements,Link ,https://umbc.edu/admissions/graduate/
Admissions,Graduate Admissions,Certificate & Non-Degree Admissions,Link ,https://umbc.edu/admissions/graduate/admissions-requirements/#certificate-nondegree
Admissions,Undergraduate Admissions,How do I contact UMBC Undergraduate Admissions?,FAQ,https://undergraduate.umbc.edu/support-and-contact-information/
Admissions,Undergraduate Admissions,I've been admitted! What now?,FAQ,https://undergraduate.umbc.edu/welcome/
Admissions,Undergraduate Admissions,How can I get started as a First-Year Student?,FAQ,https://undergraduate.umbc.edu/first-year-students/
Admissions,Undergraduate Admissions,How can I get started as an International Student?,FAQ,https://undergraduate.umbc.edu/international/
Admissions,Undergraduate Admissions,How can I get started as a Lifelong Learner?,FAQ,https://undergraduate.umbc.edu/apply/golden-id/
Admissions,Undergraduate Admissions,How can I get started as a Non-Degree and Visiting Student?,FAQ,https://undergraduate.umbc.edu/apply/non-degree-and-visiting-students/
Admissions,Undergraduate Admissions,How can I get started as a Returning Student?,FAQ,https://undergraduate.umbc.edu/readmission/
Admissions,Undergraduate Admissions,How can I get started as a Transfer Student?,FAQ,https://undergraduate.umbc.edu/transfer-students/
Admissions,Undergraduate Admissions,How can I get started as a Veteran Student?,FAQ,https://undergraduate.umbc.edu/veteran-students/
Admissions,Undergraduate Admissions,Admissions Residency,Link,https://my.umbc.edu/go/999
Academic Advising,Academic Advising,Academic Advising Frequently Asked Questions (FAQs),Link,https://advising.umbc.edu/advising-faqs-draft-update/
Academic Advising,Academic Advising,Find your Academic Advisor,Link,https://advising.umbc.edu/academic-advising/student-resources/departmental-advising/
Academic Advising,Academic Advising,Academic Suspension Appeal,Link,https://advising.umbc.edu/academic-support/suspension-and-dismissal/
Academic Advising,Academic Advising,Excess Credits,Link,https://my.umbc.edu/go/897
Academic Advising,Academic Advising,Verification of Transferability,Link,https://my.umbc.edu/go/915
Academic Advising,Degree Audit,Degree Requirements,Link,https://registrar.umbc.edu/services/degree-requirements/
Academic Advising,Degree Audit,Four-Year Pathways,Link,https://apps.my.umbc.edu/pathways/
Academic Advising,Programs & Degrees,All Programs & Degrees,Link,https://umbc.edu/academics/programs-and-degrees/
Academic Advising,Programs & Degrees,Undergraduate Catalog,Link ,https://catalog.umbc.edu/
Academic Advising,Programs & Degrees,Graduate Catalog,Link ,https://catalog.umbc.edu/index.php
Academic Advising,Programs & Degrees,Office of Academic & Pre-Professional Advising,Link,https://advising.umbc.edu/?utm_source=UMBCedu&utm_medium=Callout&utm_campaign=Degrees-Home
Academic Advising,Programs & Degrees,Course Descriptions ,Link,https://catalog.umbc.edu/content.php?catoid=33&navoid=2297
Academic Advising,Programs & Degrees,Exploring Majors,Link,https://advising.umbc.edu/academic-advising/exploratoryundecided/
